titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Continental Aro 15 UltraContact 185/60R15 84H,494.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-continental-aro-15-ultracontact-185-60r15-84h-16010585,pneustore,continental,15 ultracontact,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,continental,15 Ultracontact,,,,False,2025-09-05 15:46:32,{}
Pneu Itaro Aro 15 Comformax 185/60R15 84H,254.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-itaro-aro-15-comformax-185-60r15-84h-16005020,pneustore,,,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,,,,,,False,2025-09-05 15:46:34,{}
Pneu Speedmax Aro 15 MH01 185/60R15 88H XL,288.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-speedmax-aro-15-mh01-185-60r15-88h-xl-16007068,pneustore,,,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,,,,,,False,2025-09-05 15:46:35,{}
Pneu Itaro Aro 15 MH01 185/60R15 88H XL,263.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-itaro-aro-15-mh01-185-60r15-88h-xl-16007822,pneustore,,,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,,,,,,False,2025-09-05 15:46:36,{}
Pneu Pirelli Aro 15 P400 Evo 185/60R15 84H,459.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-pirelli-aro-15-p400-evo-185-60r15-84h-16010909,pneustore,pirelli,p400,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,pirelli,P400,,,,False,2025-09-05 15:46:37,{}
Pneu Goodyear Aro 15 EfficientGrip Performance 185/60R15 88H,547.46,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-goodyear-aro-15-efficientgrip-performance-185-60r15-88h-10130112,pneustore,goodyear,efficientgrip,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,goodyear,Efficientgrip,,,,False,2025-09-05 15:46:38,{}
Pneu Kumho Aro 15 Ecowing ES31 185/60R15 84T,342.13,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-kumho-aro-15-ecowing-es31-185-60r15-84t-10010849,pneustore,kumho,15 ecowing,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,kumho,15 Ecowing,,,,False,2025-09-05 15:46:41,{}
Pneu Continental Aro 15 PowerContact 2 185/60R15 84H,484.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-15-powercontact-2-185-60r15-84h-10120213,pneustore,continental,powercontact,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,continental,Powercontact,,,,False,2025-09-05 15:46:42,{}
Pneu Speedmax Prime Aro 15 FRD16 185/60R15 88H,288.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-speedmax-prime-aro-15-frd16-185-60r15-88h-16005725,pneustore,,,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,,,,,,False,2025-09-05 15:46:43,{}
Pneu Continental Aro 15 EcoContact 6 185/60R15 88H XL,529.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-continental-aro-15-ecocontact-6-185-60r15-88h-xl-16002845,pneustore,continental,15 ecocontact,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,continental,15 Ecocontact,,,,False,2025-09-05 15:46:48,{}
Pneu Goodyear Aro 15 Eagle Sport 2 185/60R15 88H XL,498.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-goodyear-aro-15-eagle-sport-2-185-60r15-88h-xl-16001785,pneustore,goodyear,eagle,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,goodyear,Eagle,,,,False,2025-09-05 15:46:50,{}
Pneu Pirelli Aro 15 Cinturato P1 (KA) 185/60R15 88H XL,527.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-60r15/produto/pneu-pirelli-aro-15-cinturato-p1-%28ka%29-185-60r15-88h-xl-16003064,pneustore,pirelli,15 cinturato,185/60R15,185-60-r15,15,pneu 185 60 r15 Milever Mp270,,pirelli,15 Cinturato,,,,False,2025-09-05 15:46:52,{}
