titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 175/65R14 Firestone F700 82T,465.3,https://www.magazineluiza.com.br/pneu-175-65r14-firestone-f700-82t/p/febbb37e7b/au/aupa/,2025-08-23 15:49:21,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Siena Palio Ka Uno 175/65r14 82t F700 Firestone,446.69,https://www.magazineluiza.com.br/pneu-siena-palio-ka-uno-175-65r14-82t-f700-firestone/p/ja7ad5844g/au/aupa/,2025-08-23 15:49:33,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 Firestone F700 82T,508.2,https://www.magazineluiza.com.br/pneu-175-65r14-firestone-f700-82t/p/ceee9j7cdd/au/aupa/,2025-08-23 15:49:43,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 Firestone F700 82T,508.2,https://www.magazineluiza.com.br/pneu-175-65r14-firestone-f700-82t/p/ga324b756k/au/aupa/,2025-08-23 15:49:55,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 Firestone F700 82T,508.2,https://www.magazineluiza.com.br/pneu-175-65r14-firestone-f700-82t/p/fea340gg55/au/aupa/,2025-08-23 15:50:06,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 Firestone F700 82T,508.2,https://www.magazineluiza.com.br/pneu-175-65r14-firestone-f700-82t/p/hf9fa39742/au/aupa/,2025-08-23 15:50:16,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Siena Palio Ka Uno 175/65r14 82t F700 Firestone + Bico Valvula Tr414,446.63,https://www.magazineluiza.com.br/pneu-siena-palio-ka-uno-175-65r14-82t-f700-firestone-bico-valvula-tr414/p/ek938fgaaj/au/aupa/,2025-08-23 15:50:27,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 Firestone F700 82T,508.2,https://www.magazineluiza.com.br/pneu-175-65r14-firestone-f700-82t/p/ej6j58b9fc/au/aupa/,2025-08-23 15:50:38,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 Firestone F700 82T,465.3,https://www.magazineluiza.com.br/pneu-175-65r14-firestone-f700-82t/p/febbb37e7b/au/aupa/,2025-08-23 15:51:13,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Siena Palio Ka Uno 175/65r14 82t F700 Firestone,446.69,https://www.magazineluiza.com.br/pneu-siena-palio-ka-uno-175-65r14-82t-f700-firestone/p/ja7ad5844g/au/aupa/,2025-08-23 15:51:25,175/65R14,firestone,f700,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
