titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/65R16 Firestone Destination LE3 95H Aro 16,709.01,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-le3-95h-aro-16/p/aj1g27eb4j/au/aupa/,2025-08-23 15:44:05,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/65R16 Firestone Destination H/T LE3 95H,676.16,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-h-t-le3-95h/p/gcdg3cff5j/au/aupa/,2025-08-23 15:44:17,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 205/65R16 Destination LE3 95H,1000.29,https://www.magazineluiza.com.br/pneu-firestone-aro-16-205-65r16-destination-le3-95h/p/ce7jgdg5e9/au/aupa/,2025-08-23 15:44:27,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone,735.35,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-firestone-ltr/p/ba74f024k3/au/pine/,2025-08-23 15:44:39,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,737.98,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-08-23 15:44:50,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/65R16 Firestone Destination LE3 95H Aro 16,709.01,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-le3-95h-aro-16/p/aj1g27eb4j/au/aupa/,2025-08-23 15:45:42,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/65R16 Firestone Destination H/T LE3 95H,676.16,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-h-t-le3-95h/p/gcdg3cff5j/au/aupa/,2025-08-23 15:45:55,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 205/65R16 Destination LE3 95H,1000.29,https://www.magazineluiza.com.br/pneu-firestone-aro-16-205-65r16-destination-le3-95h/p/ce7jgdg5e9/au/aupa/,2025-08-23 15:46:05,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone,735.35,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-firestone-ltr/p/ba74f024k3/au/pine/,2025-08-23 15:46:18,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,737.98,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-08-23 15:46:29,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/65R16 Firestone Destination LE3 95H Aro 16,709.01,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-le3-95h-aro-16/p/aj1g27eb4j/au/aupa/,2025-08-23 15:47:24,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/65R16 Firestone Destination H/T LE3 95H,676.16,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-h-t-le3-95h/p/gcdg3cff5j/au/aupa/,2025-08-23 15:47:37,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 205/65R16 Destination LE3 95H,1000.29,https://www.magazineluiza.com.br/pneu-firestone-aro-16-205-65r16-destination-le3-95h/p/ce7jgdg5e9/au/aupa/,2025-08-23 15:47:47,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone,735.35,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-firestone-ltr/p/ba74f024k3/au/pine/,2025-08-23 15:48:00,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,737.98,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-08-23 15:48:11,205/65R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
