titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 19 235/50 r19 ling long ar200 103y,893.18,https://www.magazineluiza.com.br/pneu-aro-19-235-50-r19-ling-long-ar200-103y/p/aj7973ccg2/au/aupa/,2025-08-29 00:38:52,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 235/50 R19 99H Ventus S1 Noble 2 H452 Original Gm Equinox,1376.27,https://www.magazineluiza.com.br/pneu-hankook-235-50-r19-99h-ventus-s1-noble-2-h452-original-gm-equinox/p/gh64a4f1g5/au/aupa/,2025-08-29 00:39:04,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 235/50 R19 99w Premiumcontact 6 Run Flat,1796.15,https://www.magazineluiza.com.br/pneu-continental-235-50-r19-99w-premiumcontact-6-run-flat/p/jh6c0414j0/au/aupa/,2025-08-29 00:39:16,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/50 R19 Nexen Roadian GTX 103V,1292.9,https://www.magazineluiza.com.br/pneu-235-50-r19-nexen-roadian-gtx-103v/p/kjgf1d69kb/au/aupa/,2025-08-29 00:39:26,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/50 R19 Hankook H452 99H Original Equinox,1630.9,https://www.magazineluiza.com.br/pneu-235-50-r19-hankook-h452-99h-original-equinox/p/fb56ga02je/au/aupa/,2025-08-29 00:39:39,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 19 Continental 235/50 R19 103V XL Ecocontact 6,1769.83,https://www.magazineluiza.com.br/pneu-aro-19-continental-235-50-r19-103v-xl-ecocontact-6/p/be8998fh9e/au/aupa/,2025-08-29 00:39:50,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/50 R19 Hankook Ventus S1 Evo 2 SUV K117A 99V *Original VW Tiguan,1794.9,https://www.magazineluiza.com.br/pneu-235-50-r19-hankook-ventus-s1-evo-2-suv-k117a-99v-original-vw-tiguan/p/ka5jcf5fe0/au/aupa/,2025-08-29 00:40:01,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 19 235/50 r19 wanli su027 99v,859.78,https://www.magazineluiza.com.br/pneu-aro-19-235-50-r19-wanli-su027-99v/p/dj854671eb/au/aupa/,2025-08-29 00:40:11,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 19 Pirelli 235/50 R19 99V S-I Scorpion JP,2605.84,https://www.magazineluiza.com.br/pneu-aro-19-pirelli-235-50-r19-99v-s-i-scorpion-jp/p/hkc8k4dg09/au/aupa/,2025-08-29 00:40:22,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn Aro 19 235/50 R19 103V XL S FIT AS LH01,893.07,https://www.magazineluiza.com.br/pneu-laufenn-aro-19-235-50-r19-103v-xl-s-fit-as-lh01/p/bccbb0bjch/au/pine/,2025-08-29 00:40:32,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 19 235/50 r19 mazzini varenna s01 99v valor unitario,920.9,https://www.magazineluiza.com.br/pneu-aro-19-235-50-r19-mazzini-varenna-s01-99v-valor-unitario/p/fac0f4c9j1/au/aupa/,2025-08-29 00:40:45,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 19 235/50 R19 DS2 99W,1399.68,https://www.magazineluiza.com.br/pneu-delinte-aro-19-235-50-r19-ds2-99w/p/ej6h7jg605/au/aupa/,2025-08-29 00:40:55,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 19 Bridgestone 235/50 R19 BL 99V Alenza 001,2565.54,https://www.magazineluiza.com.br/pneu-aro-19-bridgestone-235-50-r19-bl-99v-alenza-001/p/cdchfkb22a/au/aupa/,2025-08-29 00:41:06,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 19 Pirelli 235/50 R19 99w P-Zero (MO) (KS),2673.82,https://www.magazineluiza.com.br/pneu-aro-19-pirelli-235-50-r19-99w-p-zero-mo-ks/p/aej7e53k83/au/aupa/,2025-08-29 00:41:16,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 19 Pirelli 235/50 R19 99V P Zero Vol,2822.72,https://www.magazineluiza.com.br/pneu-aro-19-pirelli-235-50-r19-99v-p-zero-vol/p/gh44j5253c/au/aupa/,2025-08-29 00:41:27,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 235/50 R19 99V Ventus S1 Evo Suv 2 K117A Original ( Vw Tiguan )Tecnologia Autovedante Sealguard,1562.87,https://www.magazineluiza.com.br/pneu-hankook-235-50-r19-99v-ventus-s1-evo-suv-2-k117a-original-vw-tiguan-tecnologia-autovedante-sealguard/p/bgd39eh62a/au/aupa/,2025-08-29 00:41:39,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 19 Michelin 235/50 R19 99W Latitude Sport 3 MO Grnx,3065.02,https://www.magazineluiza.com.br/pneu-aro-19-michelin-235-50-r19-99w-latitude-sport-3-mo-grnx/p/ek3kd6k4h3/au/aupa/,2025-08-29 00:41:49,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 19 235/50 r19 ling long ar200 103y,893.18,https://www.magazineluiza.com.br/pneu-aro-19-235-50-r19-ling-long-ar200-103y/p/aj7973ccg2/au/aupa/,2025-08-29 00:42:38,235/50R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
