titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 175/75R13 84T Ecoblue RY26 Routeway,320.61,https://www.magazineluiza.com.br/pneu-175-75r13-84t-ecoblue-ry26-routeway/p/bhh834f3b9/au/pine/,2025-08-30 02:38:25,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 13 175/75 R13 85T RP18 NEW,381.49,https://www.magazineluiza.com.br/pneu-westlake-aro-13-175-75-r13-85t-rp18-new/p/ajka9dd21k/au/aupa/,2025-08-30 02:38:37,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 13 175/75 R13 84T Fastway F2,335.46,https://www.magazineluiza.com.br/pneu-xbri-aro-13-175-75-r13-84t-fastway-f2/p/kjkdfg5729/au/aupa/,2025-08-30 02:38:47,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Forza A/T 2,356.76,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-forza-a-t-2/p/gcg83jfckf/au/aupa/,2025-08-30 02:38:58,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75 r13 84t ovation vi-786,309.0,https://www.magazineluiza.com.br/pneu-175-75-r13-84t-ovation-vi-786/p/df63h1gd9k/au/pine/,2025-08-30 02:39:09,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 175/75 r13 ling long crosswind ecotouring 84t,338.07,https://www.magazineluiza.com.br/pneu-aro-13-175-75-r13-ling-long-crosswind-ecotouring-84t/p/af6f6b34fk/au/pine/,2025-08-30 02:39:20,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Forza F2 All Terrain TL,349.53,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-forza-f2-all-terrain-tl/p/gjg37jabb4/au/aupa/,2025-08-30 02:39:30,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Roadking 175/75 R13 85T Radial 109,482.61,https://www.magazineluiza.com.br/pneu-roadking-175-75-r13-85t-radial-109/p/fg2fh0jk2a/au/pnoc/,2025-08-30 02:39:41,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 175 75 R13 RP18 TL 85T Westlake,526.4,https://www.magazineluiza.com.br/pneu-carro-175-75-r13-rp18-tl-85t-westlake/p/fg410627da/au/aupa/,2025-08-30 02:39:52,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 13 175/75 R13 84T RP203,346.4,https://www.magazineluiza.com.br/pneu-aptany-aro-13-175-75-r13-84t-rp203/p/jj4da91hkc/au/pine/,2025-08-30 02:40:03,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75 r13 argos 109 roadking 82t,322.0,https://www.magazineluiza.com.br/pneu-175-75-r13-argos-109-roadking-82t/p/gckhaa2cgb/au/pnoc/,2025-08-30 02:40:13,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 13 175/75 R13 84T Fastway F2,628.19,https://www.magazineluiza.com.br/pneu-xbri-aro-13-175-75-r13-84t-fastway-f2/p/af7gfh2k45/au/aupa/,2025-08-30 02:40:23,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Ling Long 175/75 R13 84T Crosswind Eco Touring,398.35,https://www.magazineluiza.com.br/pneu-ling-long-175-75-r13-84t-crosswind-eco-touring-linglong/p/kef3db503g/au/pine/,2025-08-30 02:40:34,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Fastway A5,328.89,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-fastway-a5/p/abf0031650/md/shti/,2025-08-30 02:40:49,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75R13 84T Ecoblue RY26 Routeway,320.61,https://www.magazineluiza.com.br/pneu-175-75r13-84t-ecoblue-ry26-routeway/p/bhh834f3b9/au/pine/,2025-08-30 02:41:26,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 13 175/75 R13 85T RP18 NEW,381.49,https://www.magazineluiza.com.br/pneu-westlake-aro-13-175-75-r13-85t-rp18-new/p/ajka9dd21k/au/aupa/,2025-08-30 02:41:38,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 13 175/75 R13 84T Fastway F2,335.46,https://www.magazineluiza.com.br/pneu-xbri-aro-13-175-75-r13-84t-fastway-f2/p/kjkdfg5729/au/aupa/,2025-08-30 02:41:48,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Forza A/T 2,356.76,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-forza-a-t-2/p/gcg83jfckf/au/aupa/,2025-08-30 02:41:59,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75 r13 84t ovation vi-786,309.0,https://www.magazineluiza.com.br/pneu-175-75-r13-84t-ovation-vi-786/p/df63h1gd9k/au/pine/,2025-08-30 02:42:11,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 175/75 r13 ling long crosswind ecotouring 84t,338.07,https://www.magazineluiza.com.br/pneu-aro-13-175-75-r13-ling-long-crosswind-ecotouring-84t/p/af6f6b34fk/au/pine/,2025-08-30 02:42:21,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Forza F2 All Terrain TL,349.53,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-forza-f2-all-terrain-tl/p/gjg37jabb4/au/aupa/,2025-08-30 02:42:32,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Roadking 175/75 R13 85T Radial 109,482.61,https://www.magazineluiza.com.br/pneu-roadking-175-75-r13-85t-radial-109/p/fg2fh0jk2a/au/pnoc/,2025-08-30 02:42:43,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 175 75 R13 RP18 TL 85T Westlake,526.4,https://www.magazineluiza.com.br/pneu-carro-175-75-r13-rp18-tl-85t-westlake/p/fg410627da/au/aupa/,2025-08-30 02:42:54,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 13 175/75 R13 84T RP203,346.4,https://www.magazineluiza.com.br/pneu-aptany-aro-13-175-75-r13-84t-rp203/p/jj4da91hkc/au/pine/,2025-08-30 02:43:05,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75 r13 argos 109 roadking 82t,322.0,https://www.magazineluiza.com.br/pneu-175-75-r13-argos-109-roadking-82t/p/gckhaa2cgb/au/pnoc/,2025-08-30 02:43:16,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 13 175/75 R13 84T Fastway F2,628.19,https://www.magazineluiza.com.br/pneu-xbri-aro-13-175-75-r13-84t-fastway-f2/p/af7gfh2k45/au/aupa/,2025-08-30 02:43:27,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Ling Long 175/75 R13 84T Crosswind Eco Touring,398.35,https://www.magazineluiza.com.br/pneu-ling-long-175-75-r13-84t-crosswind-eco-touring-linglong/p/kef3db503g/au/pine/,2025-08-30 02:43:38,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Fastway A5,328.89,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-fastway-a5/p/abf0031650/md/shti/,2025-08-30 02:43:53,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75R13 84T Ecoblue RY26 Routeway,320.61,https://www.magazineluiza.com.br/pneu-175-75r13-84t-ecoblue-ry26-routeway/p/bhh834f3b9/au/pine/,2025-08-30 02:44:31,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 13 175/75 R13 85T RP18 NEW,381.49,https://www.magazineluiza.com.br/pneu-westlake-aro-13-175-75-r13-85t-rp18-new/p/ajka9dd21k/au/aupa/,2025-08-30 02:44:44,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 13 175/75 R13 84T Fastway F2,335.46,https://www.magazineluiza.com.br/pneu-xbri-aro-13-175-75-r13-84t-fastway-f2/p/kjkdfg5729/au/aupa/,2025-08-30 02:44:55,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Forza A/T 2,356.76,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-forza-a-t-2/p/gcg83jfckf/au/aupa/,2025-08-30 02:45:05,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75 r13 84t ovation vi-786,309.0,https://www.magazineluiza.com.br/pneu-175-75-r13-84t-ovation-vi-786/p/df63h1gd9k/au/pine/,2025-08-30 02:45:18,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 175/75 r13 ling long crosswind ecotouring 84t,338.07,https://www.magazineluiza.com.br/pneu-aro-13-175-75-r13-ling-long-crosswind-ecotouring-84t/p/af6f6b34fk/au/pine/,2025-08-30 02:45:29,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Forza F2 All Terrain TL,349.53,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-forza-f2-all-terrain-tl/p/gjg37jabb4/au/aupa/,2025-08-30 02:45:39,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Roadking 175/75 R13 85T Radial 109,482.61,https://www.magazineluiza.com.br/pneu-roadking-175-75-r13-85t-radial-109/p/fg2fh0jk2a/au/pnoc/,2025-08-30 02:45:50,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 175 75 R13 RP18 TL 85T Westlake,526.4,https://www.magazineluiza.com.br/pneu-carro-175-75-r13-rp18-tl-85t-westlake/p/fg410627da/au/aupa/,2025-08-30 02:46:02,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 13 175/75 R13 84T RP203,346.4,https://www.magazineluiza.com.br/pneu-aptany-aro-13-175-75-r13-84t-rp203/p/jj4da91hkc/au/pine/,2025-08-30 02:46:13,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/75 r13 argos 109 roadking 82t,322.0,https://www.magazineluiza.com.br/pneu-175-75-r13-argos-109-roadking-82t/p/gckhaa2cgb/au/pnoc/,2025-08-30 02:46:23,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 13 175/75 R13 84T Fastway F2,628.19,https://www.magazineluiza.com.br/pneu-xbri-aro-13-175-75-r13-84t-fastway-f2/p/af7gfh2k45/au/aupa/,2025-08-30 02:46:34,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Ling Long 175/75 R13 84T Crosswind Eco Touring,398.35,https://www.magazineluiza.com.br/pneu-ling-long-175-75-r13-84t-crosswind-eco-touring-linglong/p/kef3db503g/au/pine/,2025-08-30 02:46:45,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Xbri 175/75 R13 84T Fastway A5,328.89,https://www.magazineluiza.com.br/pneu-aro-13-xbri-175-75-r13-84t-fastway-a5/p/abf0031650/md/shti/,2025-08-30 02:47:01,175/75R13,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
