titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 18 Xbri 215/35 R18 TL 84W Sport Plus,429.42,https://www.magazineluiza.com.br/pneu-aro-18-xbri-215-35-r18-tl-84w-sport-plus/p/gfjjb8a51g/au/aupa/,2025-08-23 04:30:15,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Westlake 215/35 R18 84W SA37,536.28,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-35-r18-84w-sa37/p/gbh8f31b42/au/pine/,2025-08-23 04:30:29,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 18 215/35 R18 84W Sport Extra Load,544.07,https://www.magazineluiza.com.br/pneu-xbri-aro-18-215-35-r18-84w-sport-extra-load/p/fjk4f1b193/au/pine/,2025-08-23 04:30:41,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/35 R18 DH2 84W XL,766.6,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-35-r18-dh2-84w-xl/p/ebbgc0gdek/au/aupa/,2025-08-23 04:30:53,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 215/35 R18 TL 84W Sport Plus,429.42,https://www.magazineluiza.com.br/pneu-aro-18-xbri-215-35-r18-tl-84w-sport-plus/p/gfjjb8a51g/au/aupa/,2025-08-23 04:31:39,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Westlake 215/35 R18 84W SA37,536.28,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-35-r18-84w-sa37/p/gbh8f31b42/au/pine/,2025-08-23 04:31:53,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 18 215/35 R18 84W Sport Extra Load,544.07,https://www.magazineluiza.com.br/pneu-xbri-aro-18-215-35-r18-84w-sport-extra-load/p/fjk4f1b193/au/pine/,2025-08-23 04:32:06,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/35 R18 DH2 84W XL,766.6,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-35-r18-dh2-84w-xl/p/ebbgc0gdek/au/aupa/,2025-08-23 04:32:18,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 215/35 R18 TL 84W Sport Plus,429.42,https://www.magazineluiza.com.br/pneu-aro-18-xbri-215-35-r18-tl-84w-sport-plus/p/gfjjb8a51g/au/aupa/,2025-08-23 04:33:04,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Westlake 215/35 R18 84W SA37,536.28,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-35-r18-84w-sa37/p/gbh8f31b42/au/pine/,2025-08-23 04:33:19,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 18 215/35 R18 84W Sport Extra Load,544.07,https://www.magazineluiza.com.br/pneu-xbri-aro-18-215-35-r18-84w-sport-extra-load/p/fjk4f1b193/au/pine/,2025-08-23 04:33:31,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/35 R18 DH2 84W XL,766.6,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-35-r18-dh2-84w-xl/p/ebbgc0gdek/au/aupa/,2025-08-23 04:33:44,215/35R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
