titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Prime Aro 18 FRD26 245/45R18 100W,586.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-speedmax-prime-aro-18-frd26-245-45r18-100w-16005767,pneustore,,,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,,,,,,False,2025-09-05 06:32:29,{}
Pneu Kumho Aro 18 Ecsta SPT KU31 245/45R18 100Y,611.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-kumho-aro-18-ecsta-spt-ku31-245-45r18-100y-10030319,pneustore,kumho,18 ecsta,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,kumho,18 Ecsta,,,,False,2025-09-05 06:32:32,{}
Pneu Pirelli Aro 18 P Zero (AO) 245/45R18 100Y,1075.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-pirelli-aro-18-p-zero-%28ao%29-245-45r18-100y-10140143,pneustore,pirelli,18 zero,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,pirelli,18 Zero,,,,False,2025-09-05 06:32:33,{}
Pneu Continental Aro 18 PremiumContact 6 245/45R18 100Y XL,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-continental-aro-18-premiumcontact-6-245-45r18-100y-xl-10260086,pneustore,continental,18 premiumcontact,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,continental,18 Premiumcontact,,,,False,2025-09-05 06:32:35,{}
Pneu Continental Aro 18 EcoContact 6* 245/45R18 100Y XL,1149.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-continental-aro-18-ecocontact-6-245-45r18-100y-xl-16000237,pneustore,continental,18 ecocontact,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,continental,18 Ecocontact,,,,False,2025-09-05 06:32:36,{}
Pneu Continental Aro 18 ContiSportContact 5 245/45R18 100W XL,1109.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-continental-aro-18-contisportcontact-5-245-45r18-100w-xl-16003036,pneustore,continental,18 contisportcontact,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,continental,18 Contisportcontact,,,,False,2025-09-05 06:32:36,{}
Pneu Continental Aro 18 ContiSportContact 2 245/45R18 100W XL,1289.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-continental-aro-18-contisportcontact-2-245-45r18-100w-xl-16003038,pneustore,continental,18 contisportcontact,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,continental,18 Contisportcontact,,,,False,2025-09-05 06:32:38,{}
Pneu Kumho Aro 18 Ecsta HS52 245/45R18 100W XL,635.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-kumho-aro-18-ecsta-hs52-245-45r18-100w-xl-16003710,pneustore,kumho,18 ecsta,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,kumho,18 Ecsta,,,,False,2025-09-05 06:32:39,{}
Pneu Michelin Aro 18 Primacy 3 AO 245/45R18 100Y XL,1359.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-michelin-aro-18-primacy-3-ao-245-45r18-100y-xl-10190271,pneustore,michelin,18 primacy,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,michelin,18 Primacy,,,,False,2025-09-05 06:32:41,{}
Pneu Kumho Aro 18 Ecsta PS71 245/45R18 96Y Run Flat,928.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-kumho-aro-18-ecsta-ps71-245-45r18-96y-run-flat-10031416,pneustore,kumho,18 ecsta,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,kumho,18 Ecsta,,,,False,2025-09-05 06:32:42,{}
Pneu Continental Aro 18 ContiSportContact 3* 245/45R18 96Y Run Flat,2179.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-continental-aro-18-contisportcontact-3-245-45r18-96y-run-flat-16000615,pneustore,continental,18 contisportcontact,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,continental,18 Contisportcontact,,,,False,2025-09-05 06:32:43,{}
Pneu Michelin Aro 18 Primacy 3 (*) 245/45R18 100Y Run Flat XL,2737.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-45r18/produto/pneu-michelin-aro-18-primacy-3-%28-%29-245-45r18-100y-run-flat-xl-10190237,pneustore,michelin,18 primacy,245/45R18,245-45-r18,18,pneu 245 45 r18 Delmax Ultimato Pro Up1,,michelin,18 Primacy,,,,False,2025-09-05 06:32:48,{}
