titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 17 FRD86 265/65R17 112T,674.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-farroad-aro-17-frd86-265-65r17-112t-10040789,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,,,,,,False,2025-09-05 05:08:33,{}
Pneu Speedmax Aro 17 MHT01 265/65R17 112S,635.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-speedmax-aro-17-mht01-265-65r17-112s-16010535,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,,,,,,False,2025-09-05 05:08:34,{}
Pneu Continental Aro 17 ContiCrossContact LX2 265/65R17 112H,1129.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-continental-aro-17-conticrosscontact-lx2-265-65r17-112h-10120089,pneustore,continental,17 conticrosscontact,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,continental,17 Conticrosscontact,,,,False,2025-09-05 05:08:37,{}
Pneu Speedmax Aro 17 W01 265/65R17 120/117Q,796.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-speedmax-aro-17-w01-265-65r17-120-117q-16002766,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,,,,,,False,2025-09-05 05:08:38,{}
Pneu Pirelli Aro 17 Scorpion MTR 265/65R17 116Q,1212.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-pirelli-aro-17-scorpion-mtr-265-65r17-116q-16003275,pneustore,pirelli,scorpion,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,pirelli,Scorpion,,,,False,2025-09-05 05:08:39,{}
Pneu Speedmax Aro 17 T01 265/65R17 120/117N,997.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-speedmax-aro-17-t01-265-65r17-120-117n-16003843,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,,,,,,False,2025-09-05 05:08:40,{}
Pneu Firestone Aro 17 Destination LE2 265/65R17 112H,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-firestone-aro-17-destination-le2-265-65r17-112h-10100162,pneustore,firestone,17 destination,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,firestone,17 Destination,,,,False,2025-09-05 05:08:41,{}
Pneu Pirelli Aro 17 Scorpion HT 265/65R17 112T,909.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-pirelli-aro-17-scorpion-ht-265-65r17-112t-16001242,pneustore,pirelli,scorpion,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,pirelli,Scorpion,,,,False,2025-09-05 05:08:42,{}
Pneu Firestone Aro 17 Destination ATX 265/65R17 112T,1055.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-firestone-aro-17-destination-atx-265-65r17-112t-16007139,pneustore,firestone,17 destination,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,firestone,17 Destination,,,,False,2025-09-05 05:08:44,{}
Pneu Michelin Aro 17 LTX Trail 265/65R17 112H,1114.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-michelin-aro-17-ltx-trail-265-65r17-112h-16007617,pneustore,michelin,17 ltx,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,michelin,17 Ltx,,,,False,2025-09-05 05:08:45,{}
Pneu Firestone Aro 17 Destination LE3 265/65R17 112H,1007.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-firestone-aro-17-destination-le3-265-65r17-112h-16011171,pneustore,firestone,17 destination,265/65R17,265-65-r17,17,pneu 265 65 r17 Comforser Cf2000,,firestone,17 Destination,,,,False,2025-09-05 05:08:46,{}
