titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop Aro 15 195/60R15 SP Sport FM800 88V,542.09,https://www.magazineluiza.com.br/pneu-dunlop-aro-15-195-60r15-sp-sport-fm800-88v/p/ge19aef395/au/pine/,2025-08-29 11:20:08,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 15 195/60R15 SP Sport FM800 88V,645.31,https://www.magazineluiza.com.br/pneu-dunlop-aro-15-195-60r15-sp-sport-fm800-88v/p/bfc8bdedj8/au/pine/,2025-08-29 11:20:19,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 15 195/60R15 SP Sport FM800 88V,547.35,https://www.magazineluiza.com.br/pneu-dunlop-aro-15-195-60r15-sp-sport-fm800-88v/p/hdjgf3398d/au/pine/,2025-08-29 11:20:32,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/60 R15 88V SP SPORT FM800,649.11,https://www.magazineluiza.com.br/pneu-dunlop-195-60-r15-88v-sp-sport-fm800/p/ch7b066f0g/au/pine/,2025-08-29 11:20:44,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 15 195/60R15 SP Sport FM800 88V,598.32,https://www.magazineluiza.com.br/pneu-dunlop-aro-15-195-60r15-sp-sport-fm800-88v/p/bgj8c46dj0/au/pine/,2025-08-29 11:20:54,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/60 R15 88V SP SPORT FM800,649.11,https://www.magazineluiza.com.br/pneu-dunlop-195-60-r15-88v-sp-sport-fm800/p/acg849b4f2/au/pine/,2025-08-29 11:21:04,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/60 R15 88V SP SPORT FM800,649.11,https://www.magazineluiza.com.br/pneu-dunlop-195-60-r15-88v-sp-sport-fm800/p/kf87j28128/au/pine/,2025-08-29 11:21:15,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/60 R15 88V SP SPORT FM800,649.11,https://www.magazineluiza.com.br/pneu-dunlop-195-60-r15-88v-sp-sport-fm800/p/ae0904240f/au/pine/,2025-08-29 11:21:27,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/60 R15 88V SP SPORT FM800,649.11,https://www.magazineluiza.com.br/pneu-dunlop-195-60-r15-88v-sp-sport-fm800/p/hg5afggc49/au/pine/,2025-08-29 11:21:37,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/60R15 88V SP Sport FM800,531.05,https://www.magazineluiza.com.br/pneu-dunlop-195-60r15-88v-sp-sport-fm800/p/hce22a760d/au/pine/,2025-08-29 11:21:48,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 15 195/60R15 SP Sport FM800 88V,542.09,https://www.magazineluiza.com.br/pneu-dunlop-aro-15-195-60r15-sp-sport-fm800-88v/p/ge19aef395/au/pine/,2025-08-29 11:22:29,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 15 195/60R15 SP Sport FM800 88V,645.31,https://www.magazineluiza.com.br/pneu-dunlop-aro-15-195-60r15-sp-sport-fm800-88v/p/bfc8bdedj8/au/pine/,2025-08-29 11:22:40,195/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
