titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Carrier 215/65R16C 109T,928.79,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-215-65r16c/produto/pneu-pirelli-aro-16-carrier-215-65r16c-109t-12020018,pneustore,pirelli,16 carrier,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,pirelli,16 Carrier,,,,False,2025-09-05 17:04:12,{}
Pneu Kumho Aro 16 Sense KR26 215/65R16 98H,537.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-kumho-aro-16-sense-kr26-215-65r16-98h-10040529,pneustore,kumho,16 sense,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,kumho,16 Sense,,,,False,2025-09-05 17:04:15,{}
Pneu Farroad Aro 16 FRD96 215/65R16C 109/107T,567.01,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-215-65r16c/produto/pneu-farroad-aro-16-frd96-215-65r16c-109-107t-12010173,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,,,,,,False,2025-09-05 17:04:16,{}
Pneu Continental Aro 16 ContiCrossContact AT 215/65R16 98T,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-continental-aro-16-conticrosscontact-at-215-65r16-98t-10120116,pneustore,continental,16 conticrosscontact,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,continental,16 Conticrosscontact,,,,False,2025-09-05 17:04:17,{}
Pneu Atlas Aro 16 Paraller AT 215/65R16 98T,479.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-atlas-aro-16-paraller-at-215-65r16-98t-16004163,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,,,,,,False,2025-09-05 17:04:20,{}
Pneu Speedmax Prime Aro 16 FRD16 215/65R16 98H,420.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-speedmax-prime-aro-16-frd16-215-65r16-98h-16005749,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,,,,,,False,2025-09-05 17:04:21,{}
Pneu Kumho Aro 16 Solus TA51 215/65R16 98H,547.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-kumho-aro-16-solus-ta51-215-65r16-98h-16009483,pneustore,kumho,16 solus,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,kumho,16 Solus,,,,False,2025-09-05 17:04:22,{}
Pneu Firestone Aro 16 Destination H/T 215/65R16 98H,527.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-215-65r16-98h-10100191,pneustore,firestone,16 destination,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,firestone,16 Destination,,,,False,2025-09-05 17:04:24,{}
Pneu Continental Aro 16 Conticrosscontact LX2 215/65R16 102H XL,719.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-16-conticrosscontact-lx2-215-65r16-102h-xl-10120223,pneustore,continental,16 conticrosscontact,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,continental,16 Conticrosscontact,,,,False,2025-09-05 17:04:25,{}
Pneu Goodyear Aro 16 Wrangler Fortitude HT 215/65R16 102H,733.23,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-goodyear-aro-16-wrangler-fortitude-ht-215-65r16-102h-16000524,pneustore,goodyear,wrangler,215/65R16,215-65-r16,16,pneu 215 65 r16 Roadcruza Ra1100,,goodyear,Wrangler,,,,False,2025-09-05 17:04:26,{}
