titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 215/60R17 Aptany RU025 96V,416.41,https://www.magazineluiza.com.br/pneu-215-60r17-aptany-ru025-96v/p/bbb195g2fj/au/aupa/,2025-08-29 02:10:51,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/60 R17 96H RU101 Aptany,602.29,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-ru101-aptany/p/eb631675e6/au/aupa/,2025-08-29 02:11:04,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/60R17 96V Aptany RU025 Aro 17,550.02,https://www.magazineluiza.com.br/pneu-215-60r17-96v-aptany-ru025-aro-17/p/bfefa3kha1/au/pine/,2025-08-29 02:11:14,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/60R17 96V RU025 Aptany,555.14,https://www.magazineluiza.com.br/pneu-215-60r17-96v-ru025-aptany/p/hd547jf17a/au/aupa/,2025-08-29 02:11:25,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 215/60 R17 100H Alenza 001,816.33,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-215-60-r17-100h-alenza-001/p/ccdf3aeg19/au/aupa/,2025-08-29 02:11:36,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 215/60 R17 96h Conticrosscontact Lx2,761.38,https://www.magazineluiza.com.br/pneu-continental-215-60-r17-96h-conticrosscontact-lx2/p/dg1akgah11/au/aupa/,2025-08-29 02:11:47,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Scorpion 215/60 R17 Aro 17 100H,886.37,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-215-60-r17-aro-17-100h/p/ekb9j4h49f/au/aupa/,2025-08-29 02:11:58,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 215/60 R17 100H TL Forza HT 2,666.85,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-60-r17-100h-tl-forza-ht-2/p/hgk881f286/au/pine/,2025-08-29 02:12:10,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,763.68,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-08-29 02:12:21,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 General 215/60 R17 96V FR Grabber GT+,740.13,https://www.magazineluiza.com.br/pneu-aro-17-general-215-60-r17-96v-fr-grabber-gt/p/dd7aghcgk4/au/pine/,2025-08-29 02:12:31,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
