titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Itaro Aro 17.5 ITR01T 215/75R17.5 135/133J 16 Lonas - Tração / Borrachudo,744.93,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-itr01t-215-75r17-5-135-133j-16-lonas-tracao-borrachudo/p/hb16c01e6c/au/pnoc/,2025-08-29 19:40:46,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 Osaka S 215/75R17.5 126/124L 16 Lonas,696.82,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-osaka-s-215-75r17-5-126-124l-16-lonas/p/gk2kbh7943/au/aupa/,2025-08-29 19:40:58,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 IT01 215/75R17.5 135/133J 16 Lonas - Direcional / Liso,709.44,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-it01-215-75r17-5-135-133j-16-lonas-direcional-liso/p/kg2h20fakg/au/pine/,2025-08-29 19:41:09,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 ITR02P 215/75R17.5 135/133J 18 Lonas - Direcional / Liso,807.6,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-itr02p-215-75r17-5-135-133j-18-lonas-direcional-liso/p/fh430eg8c3/au/pine/,2025-08-29 19:41:21,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 ITR01T 215/75R17.5 135/133J 16 Lonas - Tração / Borrachudo,744.93,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-itr01t-215-75r17-5-135-133j-16-lonas-tracao-borrachudo/p/hb16c01e6c/au/pnoc/,2025-08-29 19:42:12,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 Osaka S 215/75R17.5 126/124L 16 Lonas,696.82,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-osaka-s-215-75r17-5-126-124l-16-lonas/p/gk2kbh7943/au/aupa/,2025-08-29 19:42:25,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 IT01 215/75R17.5 135/133J 16 Lonas - Direcional / Liso,709.44,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-it01-215-75r17-5-135-133j-16-lonas-direcional-liso/p/kg2h20fakg/au/pine/,2025-08-29 19:42:35,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 ITR02P 215/75R17.5 135/133J 18 Lonas - Direcional / Liso,807.6,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-itr02p-215-75r17-5-135-133j-18-lonas-direcional-liso/p/fh430eg8c3/au/pine/,2025-08-29 19:42:47,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 ITR01T 215/75R17.5 135/133J 16 Lonas - Tração / Borrachudo,744.93,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-itr01t-215-75r17-5-135-133j-16-lonas-tracao-borrachudo/p/hb16c01e6c/au/pnoc/,2025-08-29 19:43:40,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 Osaka S 215/75R17.5 126/124L 16 Lonas,696.82,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-osaka-s-215-75r17-5-126-124l-16-lonas/p/gk2kbh7943/au/aupa/,2025-08-29 19:43:52,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 IT01 215/75R17.5 135/133J 16 Lonas - Direcional / Liso,709.44,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-it01-215-75r17-5-135-133j-16-lonas-direcional-liso/p/kg2h20fakg/au/pine/,2025-08-29 19:44:03,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 17.5 ITR02P 215/75R17.5 135/133J 18 Lonas - Direcional / Liso,807.6,https://www.magazineluiza.com.br/pneu-itaro-aro-17-5-itr02p-215-75r17-5-135-133j-18-lonas-direcional-liso/p/fh430eg8c3/au/pine/,2025-08-29 19:44:15,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
