titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 13, Dunlop 185_70 R13 86T SP TOURING R1 código 413025",393.32,https://www.magazineluiza.com.br/pneu-aro-13-dunlop-185-70-r13-86t-sp-touring-r1-codigo-413025/p/dkggcf225j/au/aupa/,2025-08-29 12:36:43,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 185/70 r13 dunlop sp touring r1 86t,487.78,https://www.magazineluiza.com.br/pneu-aro-13-185-70-r13-dunlop-sp-touring-r1-86t/p/faff36h831/au/pine/,2025-08-29 12:36:55,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,464.79,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/abje6cc5d4/au/aupa/,2025-08-29 12:37:07,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,469.3,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/fgjha549k6/au/aupa/,2025-08-29 12:37:17,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 SP Touring R1 86T,617.94,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-sp-touring-r1-86t/p/jeg5137geg/au/aupa/,2025-08-29 12:37:28,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1,467.29,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1/p/ek3644khef/au/aupa/,2025-08-29 12:37:40,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/dhecfe45k7/au/pine/,2025-08-29 12:37:50,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,513.0,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/jf29c8e139/au/aupa/,2025-08-29 12:38:01,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/jac55g04ck/au/pine/,2025-08-29 12:38:13,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/dfcj61fg6a/au/pine/,2025-08-29 12:38:23,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/fkhgdfg02k/au/pine/,2025-08-29 12:38:34,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/ke5cb6bdej/au/pine/,2025-08-29 12:38:44,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 13, Dunlop 185_70 R13 86T SP TOURING R1 código 413025",393.32,https://www.magazineluiza.com.br/pneu-aro-13-dunlop-185-70-r13-86t-sp-touring-r1-codigo-413025/p/dkggcf225j/au/aupa/,2025-08-29 12:39:18,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 185/70 r13 dunlop sp touring r1 86t,487.78,https://www.magazineluiza.com.br/pneu-aro-13-185-70-r13-dunlop-sp-touring-r1-86t/p/faff36h831/au/pine/,2025-08-29 12:39:30,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,464.79,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/abje6cc5d4/au/aupa/,2025-08-29 12:39:42,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,469.3,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/fgjha549k6/au/aupa/,2025-08-29 12:39:54,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 SP Touring R1 86T,617.94,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-sp-touring-r1-86t/p/jeg5137geg/au/aupa/,2025-08-29 12:40:06,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1,467.29,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1/p/ek3644khef/au/aupa/,2025-08-29 12:40:18,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/dhecfe45k7/au/pine/,2025-08-29 12:40:29,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,513.0,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/jf29c8e139/au/aupa/,2025-08-29 12:40:40,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/jac55g04ck/au/pine/,2025-08-29 12:40:52,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/dfcj61fg6a/au/pine/,2025-08-29 12:41:02,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/fkhgdfg02k/au/pine/,2025-08-29 12:41:13,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/ke5cb6bdej/au/pine/,2025-08-29 12:41:24,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 13, Dunlop 185_70 R13 86T SP TOURING R1 código 413025",393.32,https://www.magazineluiza.com.br/pneu-aro-13-dunlop-185-70-r13-86t-sp-touring-r1-codigo-413025/p/dkggcf225j/au/aupa/,2025-08-29 12:42:04,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 185/70 r13 dunlop sp touring r1 86t,487.78,https://www.magazineluiza.com.br/pneu-aro-13-185-70-r13-dunlop-sp-touring-r1-86t/p/faff36h831/au/pine/,2025-08-29 12:42:16,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,464.79,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/abje6cc5d4/au/aupa/,2025-08-29 12:42:28,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,469.3,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/fgjha549k6/au/aupa/,2025-08-29 12:42:38,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 SP Touring R1 86T,617.94,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-sp-touring-r1-86t/p/jeg5137geg/au/aupa/,2025-08-29 12:42:49,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1,467.29,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1/p/ek3644khef/au/aupa/,2025-08-29 12:43:01,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/dhecfe45k7/au/pine/,2025-08-29 12:43:11,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 13 185/70R13 86t SP Touring R1,513.0,https://www.magazineluiza.com.br/pneu-dunlop-aro-13-185-70r13-86t-sp-touring-r1/p/jf29c8e139/au/aupa/,2025-08-29 12:43:22,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/jac55g04ck/au/pine/,2025-08-29 12:43:35,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/dfcj61fg6a/au/pine/,2025-08-29 12:43:45,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/fkhgdfg02k/au/pine/,2025-08-29 12:43:56,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/70R13 86T SP Touring R1L,549.78,https://www.magazineluiza.com.br/pneu-dunlop-185-70r13-86t-sp-touring-r1l/p/ke5cb6bdej/au/pine/,2025-08-29 12:44:06,185/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
