titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,723.03,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/gj044547g8/au/pine/,2025-09-04 13:32:19,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 15 205/60R15 SP Sport FM800 91V,713.15,https://www.magazineluiza.com.br/pneu-dunlop-aro-15-205-60r15-sp-sport-fm800-91v/p/ba424ah5c1/au/aupa/,2025-09-04 13:32:41,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,665.19,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/bh90bbfc6d/au/pine/,2025-09-04 13:32:43,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,723.03,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/gj044547g8/au/pine/,2025-09-04 13:32:47,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60R15 91V SP Sport FM800,554.83,https://www.magazineluiza.com.br/pneu-dunlop-205-60r15-91v-sp-sport-fm800/p/jj1335418b/au/pine/,2025-09-04 13:32:49,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,636.27,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/eb8ak6kb94/au/pine/,2025-09-04 13:32:51,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,665.19,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/cj90c34c71/au/pine/,2025-09-04 13:32:53,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,723.03,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/fj3052kac0/au/pine/,2025-09-04 13:32:56,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,665.19,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/cj90c34c71/au/pine/,2025-09-04 13:33:02,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,636.27,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/eb8ak6kb94/au/pine/,2025-09-04 13:33:03,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,723.03,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/gj044547g8/au/pine/,2025-09-04 13:33:05,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,665.19,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/bh90bbfc6d/au/pine/,2025-09-04 13:33:07,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,636.27,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/eb8ak6kb94/au/pine/,2025-09-04 13:33:12,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,665.19,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/bh90bbfc6d/au/pine/,2025-09-04 13:33:14,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 205/60 R15 91V SP SPORT FM800,723.03,https://www.magazineluiza.com.br/pneu-dunlop-205-60-r15-91v-sp-sport-fm800/p/gj044547g8/au/pine/,2025-09-04 13:33:23,205/60R15,dunlop,sp sport,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
