titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 17 FRD26 225/50R17 98W,371.46,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-farroad-aro-17-frd26-225-50r17-98w-10030843,pneustore,,,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,,,,,,False,2025-09-05 02:55:42,{}
Pneu Pirelli Aro 17 Powergy 225/50R17 94V,508.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-pirelli-aro-17-powergy-225-50r17-94v-16004516,pneustore,pirelli,17 powergy,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,pirelli,17 Powergy,,,,False,2025-09-05 02:55:43,{}
Pneu Kumho Aro 17 Ecsta PS31 225/50R17 98W,562.13,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-kumho-aro-17-ecsta-ps31-225-50r17-98w-16000355,pneustore,kumho,17 ecsta,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,kumho,17 Ecsta,,,,False,2025-09-05 02:55:45,{}
Pneu Ansu Aro 17 Opteco A1 225/50R17 98W,361.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-ansu-aro-17-opteco-a1-225-50r17-98w-16001347,pneustore,,,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,,,,,,False,2025-09-05 02:55:46,{}
Pneu Firestone Aro 17 F-700+ 225/50R17 94V,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-firestone-aro-17-f-700%2B-225-50r17-94v-16005409,pneustore,firestone,17 f-700,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,firestone,17 F-700,,,,False,2025-09-05 02:55:50,{}
Pneu Speedmax Prime Aro 17 FRD26 225/50R17 98W,425.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-speedmax-prime-aro-17-frd26-225-50r17-98w-16005751,pneustore,,,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,,,,,,False,2025-09-05 02:55:52,{}
Pneu Itaro Aro 17 Powermax 225/50R17 98W XL,391.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-itaro-aro-17-powermax-225-50r17-98w-xl-16009151,pneustore,,,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,,,,,,False,2025-09-05 02:55:53,{}
Pneu Goodyear Aro 17 Eagle Sport 2 225/50R17 94V,645.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-goodyear-aro-17-eagle-sport-2-225-50r17-94v-16001788,pneustore,goodyear,eagle,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,goodyear,Eagle,,,,False,2025-09-05 02:55:56,{}
Pneu Continental Aro 17 ContiSportContact 5 MOE 225/50R17 94W Run Flat,1299.9,https://www.pneustore.com.br/categorias/pneus-de-carro/alta-performance/produto/pneu-continental-aro-17-contisportcontact-5-moe-225-50r17-94w-run-flat-10260071,pneustore,continental,17 contisportcontact,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,continental,17 Contisportcontact,,,,False,2025-09-05 02:56:36,{}
Pneu Bridgestone Aro 17 Turanza T001 MOE 225/50R17 94W Run Flat,1280.79,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-bridgestone-aro-17-turanza-t001-moe-225-50r17-94w-run-flat-16000713,pneustore,bridgestone,17 turanza,225/50R17,225-50-r17,17,pneu 225 50 r17 Aptany Ra301,,bridgestone,17 Turanza,,,,False,2025-09-05 02:56:37,{}
