titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Comforser Aro 17 265/65 R17 112S All Terrain CF1100,897.05,https://www.magazineluiza.com.br/pneu-comforser-aro-17-265-65-r17-112s-all-terrain-cf1100/p/dh0bae0h4k/au/pine/,2025-08-23 07:11:48,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri Lt 265/65 R17 10pr 120/117S Tl Brutus T/A,1079.51,https://www.magazineluiza.com.br/pneu-aro-17-xbri-lt-265-65-r17-10pr-120-117s-tl-brutus-t-a/p/jf00171c98/au/aupa/,2025-08-23 07:11:59,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Scorpion HT 265/65 R17 HT Aro 17 112T,1053.73,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-ht-265-65-r17-ht-aro-17-112t/p/dkje86dk2g/au/aupa/,2025-08-23 07:12:10,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum 265/65 R17 112T FR Bravuris 4X4 by Continental,797.42,https://www.magazineluiza.com.br/pneu-barum-265-65-r17-112t-fr-bravuris-4x4-by-continental/p/kbjk8919cf/au/aupa/,2025-08-23 07:12:20,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65 r17 112t destination atx firestone,1211.16,https://www.magazineluiza.com.br/pneu-265-65-r17-112t-destination-atx-firestone/p/aef5h67fkb/au/aupa/,2025-08-23 07:12:31,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 265/65 R17 112T Scorpion HT,1175.0,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-265-65-r17-112t-scorpion-ht/p/ecekc4g5e0/au/aupa/,2025-08-23 07:12:41,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 265/65 R17 112T Forza H/T E1,860.4,https://www.magazineluiza.com.br/pneu-aro-17-xbri-265-65-r17-112t-forza-h-t-e1/p/bajdj87j5j/au/pine/,2025-08-23 07:12:53,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Durable Aro 17 265/65 R17 112H Rebok A/T,993.21,https://www.magazineluiza.com.br/pneu-durable-aro-17-265-65-r17-112h-rebok-a-t/p/ee8e023e46/au/pine/,2025-08-23 07:13:03,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 265/65 R17 112t Tl X Lt A/S Dt Rbl,1253.46,https://www.magazineluiza.com.br/pneu-aro-17-michelin-265-65-r17-112t-tl-x-lt-a-s-dt-rbl/p/ef51hef9h5/au/aupa/,2025-08-23 07:13:14,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 265/65 R17 BL112S Dueler H/T 684 II,1296.1,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-265-65-r17-bl112s-dueler-h-t-684-ii/p/hka6gc650k/au/pine/,2025-08-23 07:13:24,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
