titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Speedmax Prime Aro 16 FRD96 225/65R16C 112/110T,553.81,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-16-frd96-225-65r16c-112-110t/p/gc91keekk1/au/aupa/,2025-09-11 19:12:28,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 225/65r16c 112/110t speedmax prime frd96,653.6,https://www.magazineluiza.com.br/pneu-225-65r16c-112-110t-speedmax-prime-frd96/p/hf7a4gcbk7/au/aupa/,2025-09-11 19:12:32,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,858.38,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-09-11 19:12:37,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,749.67,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-09-11 19:12:41,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Prime Aro 16 FRD96 225/65R16C 112/110T,553.81,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-16-frd96-225-65r16c-112-110t/p/gc91keekk1/au/aupa/,2025-09-11 19:13:07,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 225/65r16c 112/110t speedmax prime frd96,653.6,https://www.magazineluiza.com.br/pneu-225-65r16c-112-110t-speedmax-prime-frd96/p/hf7a4gcbk7/au/aupa/,2025-09-11 19:13:10,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,858.38,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-09-11 19:13:15,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,749.67,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-09-11 19:13:20,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,749.67,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-09-11 19:13:26,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,858.38,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-09-11 19:13:31,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Prime Aro 16 FRD96 225/65R16C 112/110T,553.81,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-16-frd96-225-65r16c-112-110t/p/gc91keekk1/au/aupa/,2025-09-11 19:13:54,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 225/65r16c 112/110t speedmax prime frd96,653.6,https://www.magazineluiza.com.br/pneu-225-65r16c-112-110t-speedmax-prime-frd96/p/hf7a4gcbk7/au/aupa/,2025-09-11 19:13:57,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,858.38,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-09-11 19:14:01,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,749.67,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-09-11 19:14:04,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,749.67,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-09-11 19:14:09,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,858.38,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-09-11 19:14:11,225/65R16,speedmax,frd96,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
