query,searched_part,url,title,price,currency,price_num,matched_part,matched_brand,part_match,sale_type,units,price_per_unit,desc_excerpt,source,accepted,decision_reason,spec:Marca,spec:Código do Produto,spec:NCM,spec:Garantia,spec:Tipo,spec:Registro Inmetro,spec:Posição,spec:Composição,spec:Código de barras,spec:Código da Montadora,spec:Aplicação,spec:Consulte o Manual,spec:Conteúdo
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1014576/amortecedor-dianteiro-turbogas-cofap-gp30179-unitario,Amortecedor Dianteiro Turbogás - Cofap - GP30179 - Unitário,,,,GP30179,Cofap,1,UNIDADE,1,,,canaldapeca,1,OK_PN_VERIFICADO_NO_TITULO,Cofap,GP30179,8708800002,24 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,Turbogás,"011023/2023, 023/2013, 127/2013, 4166/2012, 4169/2012",Dianteiro Esquerda,Unitário,7891579116185,Original: 5202X6,PEUGEOT 206 1999 | 1.0 HATCH | 1.0 SW  (EXCETO ESCAPADE) | 1.4 HATCH | 1.4 SW  (EXCETO ESCAPADE) | 1.6 HATCH | 1.6 SW  (EXCETO ESCAPADE) - PEUGEOT 206 VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10238452/amortecedor-cofap-dianteirotraseiro-fiat-uno-cofap-4gp33115-kit,AMORTECEDOR COFAP DIANTEIRO/TRASEIRO FIAT UNO - Cofap - 4GP33115 - Kit,,,,,Cofap,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,4GP33115,,,,,,,,,FIAT UNO 2015 | 1.0 8V - FIAT UNO 2016 | 1.0 8V - FIAT UNO 2017 | 1.0 6V | 1.3 8V Firefly - FIAT UNO 2018 | 1.0 6V | 1.3 8V Firefly VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10238369/amortecedor-cofap-dianteiro-direitoesquerdo-fiat-uno-cofap-2gpd33115-kit,AMORTECEDOR COFAP DIANTEIRO DIREITO/ESQUERDO FIAT UNO - Cofap - 2GPD33115 - Kit,,,,,Cofap,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,2GPD33115,,,,,,,,,FIAT UNO 2014 | 1.0 6V Firefly - FIAT UNO 2015 | 1.0 8V EVO | 1.0 6V Firefly | 1.4 8V EVO - FIAT UNO 2016 | 1.0 8V EVO | 1.0 6V Firefly | 1.4 8V EVO - VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10238455/amortecedor-cofap-dianteirotraseiro-fiat-uno-2015-cofap-4gp33116-kit,AMORTECEDOR COFAP DIANTEIRO/TRASEIRO FIAT UNO 2015 - Cofap - 4GP33116 - Kit,,,,,Cofap,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,4GP33116,,,,,,,,,FIAT UNO 2015 | 1.0 8V - FIAT UNO 2016 | 1.0 8V - FIAT UNO 2017 | 1.0 6V | 1.3 8V Firefly - FIAT UNO 2018 | 1.0 6V | 1.3 8V Firefly VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10238437/amortecedor-cofap-dianteiro-direitoesquerdo-fiat-toro-diesel-cofap-2gpd33251-kit,AMORTECEDOR COFAP DIANTEIRO DIREITO/ESQUERDO FIAT TORO DIESEL - Cofap - 2GPD33251 - Kit,,,,,Cofap,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,2GPD33251,,,,,,,,,FIAT TORO 2016 | 2.0 16V Multijet II Turbo Diesel - FIAT TORO 2017 | 2.0 16V Multijet II Turbo Diesel - FIAT TORO 2018 | 2.0 16V Multijet II Turbo Die VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1868251/amortecedor-traseiro-turbogas-cofap-automotivonao-automotivo-cofap-gb27663-unitario,Amortecedor Traseiro Turbogás CoFap Automotivo/Não Automotivo - Cofap - GB27663 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,GB27663,8708800001,24 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,Turbogás,021/2013,Traseira,Unitário,7891579368638,Toyota: 48531-09640,TOYOTA HILUX 2005 | PICK-UP - TOYOTA HILUX 2006 | PICK-UP - TOYOTA HILUX 2007 | PICK-UP - TOYOTA HILUX 2008 | PICK-UP - TOYOTA HILUX 2009 | PICK-UP - VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10238450/amortecedor-cofap-traseiro-direitoesquerdo-fiat-uno-cofap-2gbt48091-kit,AMORTECEDOR COFAP TRASEIRO DIREITO/ESQUERDO FIAT UNO - Cofap - 2GBT48091 - Kit,,,,,Cofap,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,2GBT48091,,,,,,,,,FIAT UNO 2010 | 1.4 8V - FIAT UNO 2011 | 1.0 8V | 1.4 8V - FIAT UNO 2012 | 1.0 8V | 1.4 8V - FIAT UNO 2013 | 1.0 8V | 1.4 8V - FIAT UNO 2014 | 1.0 8V VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/2239463/amortecedor-dianteiro-cofap-gl13687-unitario,Amortecedor Dianteiro - Cofap - GL13687 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,GL13687,8708800001,,,"3545/2012, 6934/2020",,,7891579354600,Original Ford: 8C3518045AB,FORD F 4000 1998 | Exceto Repowering - FORD F 4000 1999 | 3.9 L 8V OHV L4 - FORD F 4000 2000 | 3.9 L 8V SOHV L4 - FORD F 4000 2001 | 3.9 L 8V SOHV L4 VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10238448/amortecedor-cofap-traseiro-direitoesquerdo-fiat-uno-cofap-2gbt48213-kit,AMORTECEDOR COFAP TRASEIRO DIREITO/ESQUERDO FIAT UNO - Cofap - 2GBT48213 - Kit,,,,,Cofap,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,2GBT48213,,,,,,,,,FIAT UNO 2015 | 1.4 8V | 1.0 8V - FIAT UNO 2016 | 1.4 8V | 1.0 8V - FIAT UNO 2017 | 1.3 8V Firefly | 1.0 6V - FIAT UNO 2018 | 1.3 8V Firefly | 1.0 6V VER MAIS,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10238436/amortecedor-cofap-traseiro-direitoesquerdo-fiat-toro-cofap-2glt13715-kit,AMORTECEDOR COFAP TRASEIRO DIREITO/ESQUERDO FIAT TORO - Cofap - 2GLT13715 - Kit,,,,,Cofap,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,2GLT13715,,,,,,,,,FIAT TORO 2015 | 2.0 16V Multijet II Turbo Diesel - FIAT TORO 2016 | 1.8 16V Etorq | 2.0 16V Multijet II Turbo Diesel - FIAT TORO 2017 | 1.8 16V Etorq VER MAIS,,
