titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 Goodyear EfficientGrip Performance 195/55R15 85H,555.24,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-55r15-85h/p/751510100/au/pine/,2025-08-23 17:53:48,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 15 195/55R15 Efficientgrip 85H,864.49,https://www.magazineluiza.com.br/pneu-goodyear-aro-15-195-55r15-efficientgrip-85h/p/bc00655h64/au/pine/,2025-08-23 17:53:59,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 195/55 R15 85H SL Efficientgrip Performance,611.56,https://www.magazineluiza.com.br/pneu-goodyear-195-55-r15-85h-sl-efficientgrip-performance/p/ddh0d02875/au/aupa/,2025-08-23 17:54:09,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55R15 Goodyear Efficientgrip Performance 85H,650.03,https://www.magazineluiza.com.br/pneu-195-55r15-goodyear-efficientgrip-performance-85h/p/efjh76beh4/au/pine/,2025-08-23 17:54:22,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear EfficientGrip Performance 195/55R15 85H,555.24,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-55r15-85h/p/751510100/au/pine/,2025-08-23 17:54:59,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 15 195/55R15 Efficientgrip 85H,864.49,https://www.magazineluiza.com.br/pneu-goodyear-aro-15-195-55r15-efficientgrip-85h/p/bc00655h64/au/pine/,2025-08-23 17:55:10,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 195/55 R15 85H SL Efficientgrip Performance,611.56,https://www.magazineluiza.com.br/pneu-goodyear-195-55-r15-85h-sl-efficientgrip-performance/p/ddh0d02875/au/aupa/,2025-08-23 17:55:20,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55R15 Goodyear Efficientgrip Performance 85H,650.03,https://www.magazineluiza.com.br/pneu-195-55r15-goodyear-efficientgrip-performance-85h/p/efjh76beh4/au/pine/,2025-08-23 17:55:34,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear EfficientGrip Performance 195/55R15 85H,555.24,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-55r15-85h/p/751510100/au/pine/,2025-08-23 17:56:13,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 15 195/55R15 Efficientgrip 85H,864.49,https://www.magazineluiza.com.br/pneu-goodyear-aro-15-195-55r15-efficientgrip-85h/p/bc00655h64/au/pine/,2025-08-23 17:56:24,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 195/55 R15 85H SL Efficientgrip Performance,611.56,https://www.magazineluiza.com.br/pneu-goodyear-195-55-r15-85h-sl-efficientgrip-performance/p/ddh0d02875/au/aupa/,2025-08-23 17:56:35,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55R15 Goodyear Efficientgrip Performance 85H,650.03,https://www.magazineluiza.com.br/pneu-195-55r15-goodyear-efficientgrip-performance-85h/p/efjh76beh4/au/pine/,2025-08-23 17:56:48,195/55R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
