titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 15 Chrono 225/70R15C 112S,1109.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-pirelli-aro-15-chrono-225-70r15c-112s--12030006,pneustore,pirelli,15 chrono,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,pirelli,15 Chrono,,,,False,2025-08-24 11:18:11,{}
Pneu Itaro Aro 15 MC02 225/70R15C 112/110R,449.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-itaro-aro-15-mc02-225-70r15c-112-110r-16010544,pneustore,,,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,,,,,,False,2025-08-24 11:18:13,{}
Pneu Speedmax Aro 15 MC02 225/70R15C 112/110R,549.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-speedmax-aro-15-mc02-225-70r15c-112-110r-16010545,pneustore,,,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,,,,,,False,2025-08-24 11:18:14,{}
Pneu Speedmax Prime Aro 15 FRD96 225/70R15C 112/110S,549.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-speedmax-prime-aro-15-frd96-225-70r15c-112-110s-16005761,pneustore,,,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,,,,,,False,2025-08-24 11:18:15,{}
Pneu Hankook Aro 15 Vantra LT RA18 225/70R15C 112S,709.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-hankook-aro-15-vantra-lt-ra18-225-70r15c-112s-16000900,pneustore,hankook,15 vantra,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,hankook,15 Vantra,,,,False,2025-08-24 11:18:18,{}
Pneu Continental Aro 15 Vancontact Ultra 225/70R15 112/110R,1009.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15/produto/pneu-continental-aro-15-vancontact-ultra-225-70r15-112-110r-16014610,pneustore,continental,15 vancontact,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,continental,15 Vancontact,,,,False,2025-08-24 11:18:19,{}
Pneu Goodyear Aro 15 Cargo Marathon 2 225/70R15C 112/110R,939.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-goodyear-aro-15-cargo-marathon-2-225-70r15c-112-110r-10130190,pneustore,goodyear,15 cargo,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,goodyear,15 Cargo,,,,False,2025-08-24 11:18:20,{}
Pneu Continental Aro 15 VanContact AP 225/70R15C 112/110R 8 Lonas,989.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-continental-aro-15-vancontact-ap-225-70r15c-112-110r-8-lonas--10120096,pneustore,continental,15 vancontact,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,continental,15 Vancontact,,,,False,2025-08-24 11:18:22,{}
Pneu Ceat Aro 15 EnduraDrive 225/70R15 112/110S XL 8 Lonas,559.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-ceat-aro-15-enduradrive-225-70r15-112-110s-xl-8-lonas-16011006,pneustore,,,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,,,,,,False,2025-08-24 11:18:24,{}
Pneu General Tire Aro 15 Eurovan 2 225/70R15C 112/110R 8 Lonas,787.4,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-70r15c/produto/pneu-general-tire-aro-15-eurovan-2-225-70r15c-112-110r-8-lonas-16008873,pneustore,general,tire 15,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,general,Tire 15,,,,False,2025-08-24 11:18:25,{}
Pneu General Tire by Continental Aro 15 Grabber A/TX 225/70R15 100T - Letra Branca,1159.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-general-tire-by-continental-aro-15-grabber-a-tx-225-70r15-100t---letra-branca-16001439,pneustore,continental,15 grabber,225/70R15,225-70-r15,15,pneu 225 70 r15 Aplus A609 (100H),,continental,15 Grabber,,,,False,2025-08-24 11:18:26,{}
