titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 185/35 r 17 sport +2 82v xbri,650.3,https://www.magazineluiza.com.br/pneu-185-35-r-17-sport-2-82v-xbri/p/dfj2b5k1kg/au/aupa/,2025-08-30 03:36:45,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 185/35 r17 aptany ra301 74v,581.11,https://www.magazineluiza.com.br/pneu-aro-17-185-35-r17-aptany-ra301-74v/p/ag7j38g0g5/au/pine/,2025-08-30 03:36:56,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 185 35 R17 SA37 TL 74V Westlake,560.35,https://www.magazineluiza.com.br/pneu-carro-185-35-r17-sa37-tl-74v-westlake/p/cf57a3gk7c/au/pine/,2025-08-30 03:37:07,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 185 35 R17 Sport Plus 2 XL TL 82V Xbri,583.55,https://www.magazineluiza.com.br/pneu-carro-185-35-r17-sport-plus-2-xl-tl-82v-xbri/p/kca7318dae/au/aupa/,2025-08-30 03:37:17,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,508.82,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/hb7e3kh15c/au/aupa/,2025-08-30 03:37:30,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,503.93,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/khe9ada83g/au/aupa/,2025-08-30 03:37:40,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,556.2,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/acde930bhk/au/aupa/,2025-08-30 03:37:51,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/35 r 17 sport +2 82v xbri,650.3,https://www.magazineluiza.com.br/pneu-185-35-r-17-sport-2-82v-xbri/p/dfj2b5k1kg/au/aupa/,2025-08-30 03:38:37,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 185/35 r17 aptany ra301 74v,581.11,https://www.magazineluiza.com.br/pneu-aro-17-185-35-r17-aptany-ra301-74v/p/ag7j38g0g5/au/pine/,2025-08-30 03:38:50,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 185 35 R17 SA37 TL 74V Westlake,560.35,https://www.magazineluiza.com.br/pneu-carro-185-35-r17-sa37-tl-74v-westlake/p/cf57a3gk7c/au/pine/,2025-08-30 03:39:00,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 185 35 R17 Sport Plus 2 XL TL 82V Xbri,583.55,https://www.magazineluiza.com.br/pneu-carro-185-35-r17-sport-plus-2-xl-tl-82v-xbri/p/kca7318dae/au/aupa/,2025-08-30 03:39:11,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,508.82,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/hb7e3kh15c/au/aupa/,2025-08-30 03:39:23,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,503.93,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/khe9ada83g/au/aupa/,2025-08-30 03:39:34,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,556.2,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/acde930bhk/au/aupa/,2025-08-30 03:39:44,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/35 r 17 sport +2 82v xbri,650.3,https://www.magazineluiza.com.br/pneu-185-35-r-17-sport-2-82v-xbri/p/dfj2b5k1kg/au/aupa/,2025-08-30 03:40:30,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 185/35 r17 aptany ra301 74v,581.11,https://www.magazineluiza.com.br/pneu-aro-17-185-35-r17-aptany-ra301-74v/p/ag7j38g0g5/au/pine/,2025-08-30 03:40:42,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 185 35 R17 SA37 TL 74V Westlake,560.35,https://www.magazineluiza.com.br/pneu-carro-185-35-r17-sa37-tl-74v-westlake/p/cf57a3gk7c/au/pine/,2025-08-30 03:40:53,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 185 35 R17 Sport Plus 2 XL TL 82V Xbri,583.55,https://www.magazineluiza.com.br/pneu-carro-185-35-r17-sport-plus-2-xl-tl-82v-xbri/p/kca7318dae/au/aupa/,2025-08-30 03:41:03,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,508.82,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/hb7e3kh15c/au/aupa/,2025-08-30 03:41:15,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,503.93,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/khe9ada83g/au/aupa/,2025-08-30 03:41:26,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 185/35R17 74V SPM301,556.2,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-185-35r17-74v-spm301/p/acde930bhk/au/aupa/,2025-08-30 03:41:37,185/35R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
