titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Linglong Aro 14 195/70 R14 91H Crosswind HP010,353.97,https://www.magazineluiza.com.br/pneu-linglong-aro-14-195-70-r14-91h-crosswind-hp010/p/gj90h9h1d1/au/pine/,2025-08-23 23:33:16,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/70 r 14 comfort ii 91h lanvigator,578.27,https://www.magazineluiza.com.br/pneu-195-70-r-14-comfort-ii-91h-lanvigator/p/dbg6722d2h/au/pine/,2025-08-23 23:33:28,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle 195/70 R14 95H Tr928,532.92,https://www.magazineluiza.com.br/pneu-triangle-195-70-r14-95h-tr928/p/jb9725j693/au/aupa/,2025-08-23 23:33:38,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 195/70 R14 91T Kinergy St H735,648.95,https://www.magazineluiza.com.br/pneu-hankook-195-70-r14-91t-kinergy-st-h735/p/agcfajc6h0/au/aupa/,2025-08-23 23:33:54,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 14 195/70 R14 DS2 91T,655.95,https://www.magazineluiza.com.br/pneu-delinte-aro-14-195-70-r14-ds2-91t/p/jkddk9hj6j/au/aupa/,2025-08-23 23:34:06,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 195 70 R14 RP203 TL 91H Aptany,663.58,https://www.magazineluiza.com.br/pneu-carro-195-70-r14-rp203-tl-91h-aptany/p/heh81hg9a5/au/pine/,2025-08-23 23:34:18,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 14 195/70 r14 delinte ds2 91t valor unitario,628.66,https://www.magazineluiza.com.br/pneu-aro-14-195-70-r14-delinte-ds2-91t-valor-unitario/p/eke0e8kakb/au/pine/,2025-08-23 23:34:28,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Linglong Aro 14 195/70 R14 91H Crosswind HP010,353.97,https://www.magazineluiza.com.br/pneu-linglong-aro-14-195-70-r14-91h-crosswind-hp010/p/gj90h9h1d1/au/pine/,2025-08-23 23:35:14,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/70 r 14 comfort ii 91h lanvigator,578.27,https://www.magazineluiza.com.br/pneu-195-70-r-14-comfort-ii-91h-lanvigator/p/dbg6722d2h/au/pine/,2025-08-23 23:35:27,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle 195/70 R14 95H Tr928,532.92,https://www.magazineluiza.com.br/pneu-triangle-195-70-r14-95h-tr928/p/jb9725j693/au/aupa/,2025-08-23 23:35:38,195/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
