titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Tornel Aro 14 Classic 185/70R14 87S,283.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-tornel-aro-14-classic-185-70r14-87s-10010627,pneustore,,,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,,,,,,False,2025-09-05 04:50:08,{}
Pneu Speedmax Aro 14 MH01 185/70R14 88H,312.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-speedmax-aro-14-mh01-185-70r14-88h-16004774,pneustore,,,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,,,,,,False,2025-09-05 04:50:09,{}
Pneu Continental Aro 14 UltraContact 185/70R14 88H,484.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-continental-aro-14-ultracontact-185-70r14-88h-16010580,pneustore,continental,14 ultracontact,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,continental,14 Ultracontact,,,,False,2025-09-05 04:50:11,{}
Pneu Continental Aro 14 PowerContact 2 185/70R14 88H,474.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-continental-aro-14-powercontact-2-185-70r14-88h-10120009,pneustore,continental,powercontact,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,continental,Powercontact,,,,False,2025-09-05 04:50:12,{}
Pneu Goodyear Aro 14 EfficientGrip Performance 185/70R14 88H,532.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-goodyear-aro-14-efficientgrip-performance-185-70r14-88h-10130117,pneustore,goodyear,efficientgrip,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,goodyear,Efficientgrip,,,,False,2025-09-05 04:50:14,{}
Pneu Kumho Aro 14 Sense KR26 185/70R14 88T,332.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-kumho-aro-14-sense-kr26-185-70r14-88t-10010773,pneustore,kumho,14 sense,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,kumho,14 Sense,,,,False,2025-09-05 04:50:15,{}
Pneu Goodyear Aro 14 Assurance Maxlife 185/70R14 88H,498.57,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-goodyear-aro-14-assurance-maxlife-185-70r14-88h-10130229,pneustore,goodyear,assurance maxlife,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,goodyear,Assurance Maxlife,,,,False,2025-09-05 04:50:16,{}
Pneu Speedmax Aro 14 VT Max 185/70R14 88T,312.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-speedmax-aro-14-vt-max-185-70r14-88t-16009355,pneustore,,,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,,,,,,False,2025-09-05 04:50:17,{}
Pneu Kumho Aro 14 Ecowing ES31 185/70R14 88T,322.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-kumho-aro-14-ecowing-es31-185-70r14-88t-16009356,pneustore,kumho,14 ecowing,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,kumho,14 Ecowing,,,,False,2025-09-05 04:50:19,{}
Pneu Speedmax Aro 14 SL Max 185/70R14 87S,312.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-speedmax-aro-14-sl-max-185-70r14-87s-16007006,pneustore,,,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,,,,,,False,2025-09-05 04:50:20,{}
Pneu Pirelli Aro 14 P400 Evo 185/70R14 88T,420.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-pirelli-aro-14-p400-evo-185-70r14-88t-16010912,pneustore,pirelli,p400,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,pirelli,P400,,,,False,2025-09-05 04:50:21,{}
