titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aptany Aro 17 225/50R17 RA301 98W,673.69,https://www.magazineluiza.com.br/pneu-aptany-aro-17-225-50r17-ra301-98w/p/dc2cjcke6h/au/pine/,2025-08-29 01:20:22,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Pioneiro Aro 17 para Civic e Corolla,456.97,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-aro-17-para-civic-e-corolla/p/hf669dc68a/au/pine/,2025-08-29 01:20:34,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Firestone 225/50 R17 BL 94V F-700 By Bridgestone,631.41,https://www.magazineluiza.com.br/pneu-aro-17-firestone-225-50-r17-bl-94v-f-700-by-bridgestone/p/fd6f2hcc8h/au/aupa/,2025-08-29 01:20:46,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 225/50 R17 94V Turanza T005,779.37,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-225-50-r17-94v-turanza-t005/p/hhacd4ee58/au/aupa/,2025-08-29 01:20:57,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 225/50 R17 Pioneiro para Fusion, Jetta e Corolla",453.28,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-fusion-jetta-e-corolla/p/hbkh8g7649/au/aupa/,2025-08-29 01:21:09,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Powergy 225/50 R17 Aro 17 94V,730.51,https://www.magazineluiza.com.br/pneu-pirelli-powergy-225-50-r17-aro-17-94v/p/gakbj73bfh/au/aupa/,2025-08-29 01:21:19,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri 17 225/50 R17 98W Sport+2 Extra Load Xl,655.34,https://www.magazineluiza.com.br/pneu-xbri-17-225-50-r17-98w-sport-2-extra-load-xl-xbri-tires/p/afe4j17084/au/aupa/,2025-08-29 01:21:30,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Pioneiro para Jetta e Fusion,459.73,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-jetta-e-fusion/p/fd00a4fbh3/au/aupa/,2025-08-29 01:21:41,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225 50 R17 94w Spfm800 Dunlop Cod.ref. Accord Fusion Eclipse Cruze Sonata Ds5 417035,668.52,https://www.magazineluiza.com.br/pneu-225-50-r17-94w-spfm800-dunlop-cod-ref-accord-fusion-eclipse-cruze-sonata-ds5-417035/p/cc7ekhbb6b/au/pine/,2025-08-29 01:21:52,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 225/50 R17 98Y Ventus V12 Evo2 K120,776.02,https://www.magazineluiza.com.br/pneu-hankook-225-50-r17-98y-ventus-v12-evo2-k120/p/ea1a58c0hb/au/aupa/,2025-08-29 01:22:02,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Aro 17 Pioneiro para Civic e Jetta,456.05,https://www.magazineluiza.com.br/pneu-225-50-r17-aro-17-pioneiro-para-civic-e-jetta/p/de9ja229df/au/pine/,2025-08-29 01:22:13,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 225/50 r17 dunlop sport fm800 94w,808.01,https://www.magazineluiza.com.br/pneu-aro-17-225-50-r17-dunlop-sport-fm800-94w/p/kh5j1d87gg/au/pine/,2025-08-29 01:22:25,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Pioneiro para Civic e Jetta,455.13,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-civic-e-jetta/p/be6a22hj86/au/aupa/,2025-08-29 01:22:35,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Goodyear 225/50 R17 94V Eagle Sport 2 Sl,740.0,https://www.magazineluiza.com.br/pneu-aro-17-goodyear-225-50-r17-94v-eagle-sport-2-sl/p/kbcaa663j4/au/aupa/,2025-08-29 01:22:46,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 225/50 R17 Pioneiro para Civic, Fusion e Jetta",460.66,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-civic-fusion-e-jetta/p/fg705j8f4k/au/aupa/,2025-08-29 01:22:56,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Barum 225/50 R17 98W XL FR Bravuris 5HM,541.35,https://www.magazineluiza.com.br/pneu-aro-17-barum-225-50-r17-98w-xl-fr-bravuris-5hm/p/gdab868dha/au/aupa/,2025-08-29 01:23:06,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 225/50 R17 98Y Xl Tl Primacy 4+ DT,991.17,https://www.magazineluiza.com.br/pneu-aro-17-michelin-225-50-r17-98y-xl-tl-primacy-4-dt/p/ecbeg4kce2/au/ppmt/,2025-08-29 01:23:18,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Pioneiro para Corolla e Elantra,456.05,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-corolla-e-elantra/p/dk77722jg4/au/aupa/,2025-08-29 01:23:29,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 225/50 R17 Pioneiro para Fusion e Elantra,473.01,https://www.magazineluiza.com.br/pneu-aro-17-225-50-r17-pioneiro-para-fusion-e-elantra/p/hhkeb28j3e/au/aupa/,2025-08-29 01:23:39,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Pioneiro para i30 e Corolla,457.89,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-i30-e-corolla/p/dc358a0e72/au/pine/,2025-08-29 01:23:50,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Sedan Pioneiro para Jetta e Civic,453.28,https://www.magazineluiza.com.br/pneu-225-50-r17-sedan-pioneiro-para-jetta-e-civic/p/jjcdg537j5/au/pine/,2025-08-29 01:24:01,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Longway Aro 17 Para Civic e Jetta,558.56,https://www.magazineluiza.com.br/pneu-225-50-r17-longway-aro-17-para-civic-e-jetta-pioneiro/p/gf1649f9f6/au/pine/,2025-08-29 01:24:11,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 225/50 R17 Pioneiro para i30, Corolla e Fusion",453.28,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-i30-corolla-e-fusion/p/hj04526c15/au/pine/,2025-08-29 01:24:22,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 225/50 R17 94W Cinturato P7 MOE RunFlat,1497.67,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-225-50-r17-94w-cinturato-p7-moe-runflat/p/hh04gej9b0/au/aupa/,2025-08-29 01:24:34,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 225/50 R17 94W Potenza S001 Runflat,1393.57,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-225-50-r17-94w-potenza-s001-runflat/p/hce7a4db4c/au/pine/,2025-08-29 01:24:44,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Pioneiro para Corolla e Jetta,461.58,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-para-corolla-e-jetta/p/gkb1jhbdd5/au/aupa/,2025-08-29 01:24:55,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 225/50R17 RA301 98W,673.69,https://www.magazineluiza.com.br/pneu-aptany-aro-17-225-50r17-ra301-98w/p/dc2cjcke6h/au/pine/,2025-08-29 01:25:33,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/50 R17 Pioneiro Aro 17 para Civic e Corolla,456.97,https://www.magazineluiza.com.br/pneu-225-50-r17-pioneiro-aro-17-para-civic-e-corolla/p/hf669dc68a/au/pine/,2025-08-29 01:25:45,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Firestone 225/50 R17 BL 94V F-700 By Bridgestone,631.41,https://www.magazineluiza.com.br/pneu-aro-17-firestone-225-50-r17-bl-94v-f-700-by-bridgestone/p/fd6f2hcc8h/au/aupa/,2025-08-29 01:25:56,225/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
