titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/dgbg0dg526/au/aupa/,2025-08-29 10:39:56,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/jc3kd0a6ae/au/aupa/,2025-08-29 10:40:08,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/fe8agggkfk/au/aupa/,2025-08-29 10:40:19,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/bg07c54431/au/aupa/,2025-08-29 10:40:29,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/khe7kk71k6/au/aupa/,2025-08-29 10:40:40,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Camioneta 235/75R15 Dunlop Grandtreck AT5 425135,854.91,https://www.magazineluiza.com.br/pneu-camioneta-235-75r15-dunlop-grandtreck-at5-425135/p/gfh025e6fa/au/aupa/,2025-08-29 10:40:50,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Camioneta 235/75R15 Dunlop Grandtreck AT5 425135,854.1,https://www.magazineluiza.com.br/pneu-camioneta-235-75r15-dunlop-grandtreck-at5-425135/p/hbahgj54c6/au/aupa/,2025-08-29 10:41:01,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Camioneta 235/75R15 Dunlop Grandtreck At5 425135 Preto,949.0,https://www.magazineluiza.com.br/pneu-camioneta-235-75r15-dunlop-grandtreck-at5-425135-preto/p/hb31bfbfa9/au/pine/,2025-08-29 10:41:12,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Camioneta 235/75r15 Dunlop Grandtreck At5 425135 Preto,949.9,https://www.magazineluiza.com.br/pneu-camioneta-235-75r15-dunlop-grandtreck-at5-425135-preto/p/kfg08a0916/au/pine/,2025-08-29 10:41:22,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/dgbg0dg526/au/aupa/,2025-08-29 10:42:07,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/jc3kd0a6ae/au/aupa/,2025-08-29 10:42:20,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/fe8agggkfk/au/aupa/,2025-08-29 10:42:30,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/khe7kk71k6/au/aupa/,2025-08-29 10:42:41,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/bg07c54431/au/aupa/,2025-08-29 10:42:51,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Camioneta 235/75R15 Dunlop Grandtreck AT5 425135,854.91,https://www.magazineluiza.com.br/pneu-camioneta-235-75r15-dunlop-grandtreck-at5-425135/p/gfh025e6fa/au/aupa/,2025-08-29 10:43:02,235/75R15,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
