titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Speedmax Aro 20 DSU02 265/50R20 111W,785.45,https://www.magazineluiza.com.br/pneu-speedmax-aro-20-dsu02-265-50r20-111w/p/da491ed617/au/aupa/,2025-08-24 05:03:27,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Sportline C1 265/50 R20 Aro 20 111V TL XL,623.22,https://www.magazineluiza.com.br/pneu-xbri-sportline-c1-265-50-r20-aro-20-111v-tl-xl/p/gbefg7agke/au/pine/,2025-08-24 05:03:39,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 20 265/50R20 111W DSU02 SPM,1030.85,https://www.magazineluiza.com.br/pneu-speedmax-aro-20-265-50r20-111w-dsu02-spm/p/eed3kdgg7k/au/aupa/,2025-08-24 05:03:49,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 20 265/50R20 111W DSU02 SPM,1137.78,https://www.magazineluiza.com.br/pneu-speedmax-aro-20-265-50r20-111w-dsu02-spm/p/hk2208ak69/au/aupa/,2025-08-24 05:04:00,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Forza A/T2 265/50 R20 AT Aro 20 111S XL,722.01,https://www.magazineluiza.com.br/pneu-xbri-forza-a-t2-265-50-r20-at-aro-20-111s-xl/p/cb50g5ba73/au/pine/,2025-08-24 05:04:10,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 20 265/50R20 111W DSU02 SPM,1040.86,https://www.magazineluiza.com.br/pneu-speedmax-aro-20-265-50r20-111w-dsu02-spm/p/ae04e488dk/au/aupa/,2025-08-24 05:04:22,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 20 265/50R20 DSU02 111W XL,1195.55,https://www.magazineluiza.com.br/pneu-speedmax-aro-20-265-50r20-dsu02-111w-xl/p/de7d22g57d/au/aupa/,2025-08-24 05:04:33,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 20 265/50 r20 xbri sportline extra load 111v,1084.74,https://www.magazineluiza.com.br/pneu-aro-20-265-50-r20-xbri-sportline-extra-load-111v/p/dhje8djdgf/au/pine/,2025-08-24 05:04:43,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Roadcruza 265/50 R20 107T Ra 1100 At,1411.32,https://www.magazineluiza.com.br/pneu-roadcruza-265-50-r20-107t-ra-1100-at/p/ag2d26551d/au/aupa/,2025-08-24 05:04:54,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 20 265/50 R20 111XL V RU006 Alpinism A/T,1167.31,https://www.magazineluiza.com.br/pneu-aptany-aro-20-265-50-r20-111xl-v-ru006-alpinism-a-t/p/aa8kbhc4eh/au/pine/,2025-08-24 05:05:05,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 20 Michelin 265/50 R20 111H XL TL A/S 2,1561.15,https://www.magazineluiza.com.br/pneu-aro-20-michelin-265-50-r20-111h-xl-tl-a-s-2/p/cje4hah222/au/aupa/,2025-08-24 05:05:16,265/50R20,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
