titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 225/45 R18 ZR 95W XL SPORT PLUS F1 - XBRI,698.25,https://www.magazineluiza.com.br/pneu-225-45-r18-zr-95w-xl-sport-plus-f1-xbri/p/ac45fjf433/au/aupa/,2025-08-29 07:26:12,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45 R18 DS7 Sport 95Y XL,925.14,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45-r18-ds7-sport-95y-xl/p/bf724d7c57/au/pine/,2025-08-29 07:26:24,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R18 Hankook Ventus S1 Evo 3 K127 91Y,1245.9,https://www.magazineluiza.com.br/pneu-225-45-r18-hankook-ventus-s1-evo-3-k127-91y/p/djfhgkc97e/au/aupa/,2025-08-29 07:26:34,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Bridgestone 225/45 R18 Turanza T005 95y,869.88,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-225-45-r18-turanza-t005-95y/p/ba788aaa39/au/aupa/,2025-08-29 07:26:45,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 225/45 R18 95W TL Sport Plus C1 Extra Load,566.61,https://www.magazineluiza.com.br/pneu-aro-18-xbri-225-45-r18-95w-tl-sport-plus-c1-extra-load/p/jd6695c0j9/au/pine/,2025-08-29 07:26:55,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 225/45 r18 delmax ultimapro up1 95w,672.63,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-delmax-ultimapro-up1-95w-durable/p/jk777da9e5/au/aupa/,2025-08-29 07:27:07,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 225/45 r18 sunwide rs one xl 95w,642.79,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-sunwide-rs-one-xl-95w/p/gg2f869j1j/au/aupa/,2025-08-29 07:27:17,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
225/45 r18 95y xl tl pilot sport 4 zp * mi,2504.9,https://www.magazineluiza.com.br/225-45-r18-95y-xl-tl-pilot-sport-4-zp-mi-michelin/p/akkg3f4dj4/au/pine/,2025-08-29 07:27:27,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 225/45 R18 95W S Fit As Lh01,753.83,https://www.magazineluiza.com.br/pneu-laufenn-225-45-r18-95w-s-fit-as-lh01/p/gf9589hece/au/aupa/,2025-08-29 07:27:38,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Continental 225/45 R18 95Y XL FR SportContact 5,1089.9,https://www.magazineluiza.com.br/pneu-aro-18-continental-225-45-r18-95y-xl-fr-sportcontact-5/p/gcd70322bd/au/pine/,2025-08-29 07:27:48,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
